"","Date","Lat","Lon","Dep","M"
"181","6/28/2018",-8.82,110.26,27,4.3
"182","6/27/2018",-7.56,106.19,10,3.1
"183","6/27/2018",-7.75,105.96,10,3.9
"184","6/25/2018",-7.64,106.73,32,3.3
"185","6/25/2018",-8.83,110.33,10,3.1
"186","6/24/2018",-6.97,109.95,236,3.5
"187","6/24/2018",-8.13,107.25,22,3.3
"188","6/23/2018",-6.16,107.68,314,4
"189","6/23/2018",-6.73,106.59,10,3.6
"190","6/23/2018",-6.75,106.59,10,3.2
"191","6/23/2018",-8.73,111.61,87,3.7
"192","6/22/2018",-7.7,105.9,10,3.5
"193","6/21/2018",-8.51,113.29,10,3.5
"194","6/19/2018",-8.93,110.29,10,4.2
"195","6/19/2018",-8.23,107.36,10,3.8
"196","6/18/2018",-8.3,108.66,121,4.5
"197","6/17/2018",-8.26,109.6,66,3.2
"198","6/17/2018",-8.76,109.94,21,4.3
"199","6/15/2018",-7.54,106.55,77,3.1
"200","6/13/2018",-6.96,113.9,25,4.7
"201","6/12/2018",-7.8,107.12,32,3.6
"202","6/12/2018",-7.97,107.46,10,4.4
"203","6/12/2018",-8,107.32,77,3.5
"204","6/12/2018",-8.7,113.38,85,3.7
"205","6/10/2018",-7.17,106.91,18,3.1
"206","6/10/2018",-7.14,106.88,115,3
"207","6/10/2018",-7.84,108.04,107,3.4
"208","6/9/2018",-7.55,113.76,17,3.1
"209","6/8/2018",-7.22,106.03,18,4.7
"210","6/7/2018",-7.82,106.46,12,4.2
"211","6/6/2018",-7.84,106.59,10,3.5
"212","6/6/2018",-8.28,107.59,16,3.9
"213","6/5/2018",-8.81,112.45,40,3.8
"214","6/4/2018",-8.52,111.81,94,3.9
"215","6/3/2018",-8.95,112.49,24,4
"216","6/3/2018",-8.99,112.47,18,4.1
"217","6/3/2018",-8.76,108.5,10,3.3
"218","6/2/2018",-8.47,112.32,91,3.2
"219","6/2/2018",-7.82,106.62,23,3.3
"220","6/2/2018",-8.82,109.08,10,3.2
"221","5/31/2018",-8.46,112.08,98,3.6
"222","5/30/2018",-8.59,112.02,81,3.8
"223","5/29/2018",-8.93,111.18,10,3.9
"224","5/28/2018",-8.44,108.12,10,4.7
"225","5/27/2018",-8.95,110.27,42,3.5
"226","5/26/2018",-7.2,106.85,10,3.2
"227","5/26/2018",-7.21,106.89,10,3.2
"228","5/25/2018",-7.18,106.89,10,4.4
"229","5/25/2018",-6.35,107.02,225,3.7
"230","5/24/2018",-8.05,107.22,32,4.2
"231","5/23/2018",-7.9,107.28,20,3.9
"232","5/22/2018",-8.03,107.1,13,3.1
"233","5/21/2018",-8.78,110.56,10,3.1
"234","5/20/2018",-6.81,110.37,13,3.1
"235","5/20/2018",-7.67,106.29,10,3.2
"236","5/18/2018",-7.73,106.89,20,3.4
"237","5/18/2018",-7.94,107.26,24,3.6
"238","5/16/2018",-8.9,110.32,10,3.3
"239","5/15/2018",-8.52,108.47,52,4.1
"240","5/15/2018",-8.71,109.01,10,4.1
"241","5/15/2018",-8.98,112.62,10,3.5
"242","5/15/2018",-7.73,106.95,15,3.2
"243","5/14/2018",-8.99,111.31,10,3.2
"244","5/14/2018",-8.28,111.22,108,3.3
"245","5/14/2018",-6.29,107.4,283,3.9
"246","5/13/2018",-8.77,107.24,10,3.3
"247","5/12/2018",-7.83,106.59,10,3.5
"248","5/12/2018",-7.03,111.29,13,3.6
"249","5/10/2018",-8.78,110.4,28,3.1
"250","5/6/2018",-7.84,106.61,23,3.2
"251","5/4/2018",-7.16,106.92,10,3.1
"252","5/4/2018",-8.95,112.52,30,3.3
"253","5/3/2018",-8.66,112.53,107,3.5
"254","5/3/2018",-7.2,105.27,10,4.3
"255","5/2/2018",-6.47,111.1,10,3.9
"256","5/2/2018",-6.73,106.63,10,3.2
"257","4/30/2018",-7.25,106.86,10,3.5
"258","4/30/2018",-7.22,106.87,10,3.6
"259","4/30/2018",-7.21,106.86,10,3.1
"260","4/29/2018",-7.28,106.84,10,4.3
"261","4/29/2018",-8.23,107.8,18,3.2
"262","4/29/2018",-8.24,107.84,11,4.2
"263","4/28/2018",-7.24,106.86,10,3.1
"264","4/28/2018",-7.99,107.39,49,4.1
"265","4/27/2018",-7.87,107.28,24,3.6
"266","4/27/2018",-7.29,106.85,10,3.5
"267","4/27/2018",-7.23,106.85,10,3.9
"268","4/26/2018",-8.11,107.29,56,4.7
"269","4/25/2018",-8.38,108.95,34,3.3
"270","4/25/2018",-6.79,112.31,10,3.3
"271","4/24/2018",-7.83,106.69,15,3.2
"272","4/23/2018",-7.96,107.37,67,4.8
"273","4/23/2018",-7.58,106.59,76,3.7
"274","4/23/2018",-8.54,110.22,88,3.1
"275","4/23/2018",-8.55,113.57,10,3.9
"276","4/21/2018",-7.21,109.69,10,3.5
"277","4/21/2018",-7.5,106.25,10,3.2
"278","4/20/2018",-8.41,109.02,28,3.5
"279","4/18/2018",-7.8,106.53,17,3.7
"280","4/18/2018",-7.43,106.6,78,3.2
"281","4/18/2018",-7.21,109.65,10,4.4
"282","4/17/2018",-7.29,105.48,19,3.2
"283","4/16/2018",-7.42,105.27,43,4.1
"284","4/15/2018",-8.31,110.33,83,3.5
"285","4/15/2018",-8.51,112.36,104,3.3
"286","4/13/2018",-8.18,107.2,10,4
"287","4/12/2018",-7.72,106.98,22,3.1
"288","4/12/2018",-8.88,111.22,91,4.4
"289","4/12/2018",-7.96,107.42,25,3.1
"290","4/11/2018",-7.93,107.29,20,3.9
"291","4/11/2018",-7.26,105.23,10,4.4
"292","4/11/2018",-7.88,107.28,24,3.6
"293","4/10/2018",-8.36,109.99,71,3.8
"294","4/10/2018",-7.86,106.62,16,3.8
"295","4/9/2018",-7.01,105.5,64,4.9
"296","4/8/2018",-8.8,110.31,77,3.6
"297","4/5/2018",-7.15,106.91,10,3.1
"298","4/5/2018",-8.35,112.47,10,3.5
"299","4/4/2018",-8.58,108.43,18,4
"300","4/4/2018",-7.14,106.02,28,3.6
"301","4/4/2018",-7.19,106.04,20,3.5
"302","4/3/2018",-7.8,112.53,10,3.3
"303","4/3/2018",-7.68,105.95,33,3.2
"304","4/2/2018",-6.35,107.25,260,4.6
"305","4/2/2018",-8.57,109.01,70,3.2
"306","4/1/2018",-8.39,112.42,112,3.4
"307","3/31/2018",-8.33,108.94,38,3.1
"308","3/28/2018",-7.17,106.13,35,3.1
"309","3/27/2018",-6.79,106.39,117,4.7
"310","3/26/2018",-9,111.32,25,3.1
"311","3/25/2018",-7.3,106.83,10,3
"312","3/25/2018",-8.75,111.6,30,3.1
"313","3/22/2018",-8.82,112.13,44,3.4
"314","3/21/2018",-8.09,107.21,10,3.1
"315","3/21/2018",-8.25,107.36,10,3.9
"316","3/21/2018",-7.82,108.06,75,4.1
"317","3/19/2018",-7.35,106,40,5.2
"318","3/18/2018",-8.3,107.63,10,3.4
"319","3/18/2018",-8.41,108.04,10,4
"320","3/18/2018",-7.25,106.06,26,3.5
"321","3/17/2018",-8.36,107.81,10,3.7
"322","3/17/2018",-6.4,106.15,175,3.7
"323","3/17/2018",-8.19,107.34,10,3.5
"324","3/17/2018",-8.76,112.91,118,3
"325","3/16/2018",-7.63,106.3,10,3.3
"326","3/16/2018",-8.55,111.28,91,3.1
"327","3/16/2018",-7.7,113.51,20,3.4
"328","3/15/2018",-7.89,111.72,114,4.1
"329","3/13/2018",-7.25,106.87,10,3.1
"330","3/12/2018",-8.91,112.55,21,3.1
"331","3/11/2018",-7.79,106.42,10,3.5
"332","3/11/2018",-8.73,112.51,98,3.7
"333","3/11/2018",-7.51,107.85,117,3.3
"334","3/11/2018",-8.03,107.84,29,3.7
"335","3/8/2018",-7.13,106.89,10,3
"336","3/7/2018",-6.98,106.14,10,3.1
"337","3/7/2018",-8.71,109.03,10,3.4
"338","3/7/2018",-8.14,107.26,22,3.5
"339","3/6/2018",-8.91,110.75,17,3.8
"340","3/6/2018",-6.91,106.1,10,4
"341","3/5/2018",-7.51,106.01,10,4.3
"342","3/4/2018",-7.45,105.43,10,4
"343","3/4/2018",-7.5,105.39,10,4.1
"344","3/3/2018",-7.26,106.88,10,3.1
"345","3/3/2018",-7.95,112.06,10,4.1
"346","2/27/2018",-7.03,105.17,10,3.5
"347","2/27/2018",-6.43,106.35,10,3.2
"348","2/26/2018",-7.45,106.02,10,4.6
"349","2/26/2018",-7.86,106.54,10,3.1
"350","2/25/2018",-7.88,106.33,10,3.8
"351","2/25/2018",-8.06,111.94,10,3.4
"352","2/25/2018",-6.99,112.4,750,3.7
"353","2/25/2018",-7.39,107.08,128,3.3
"354","2/25/2018",-8.98,112.79,29,3.4
"355","2/22/2018",-8.99,111.3,10,4
"356","2/22/2018",-7.05,105.26,10,3.3
"357","2/21/2018",-8.97,112.79,12,3.3
"358","2/21/2018",-8.53,108.32,52,3.2
"359","2/20/2018",-8.95,112.75,30,3.5
"360","2/19/2018",-7.89,106.5,10,3.8
"361","2/19/2018",-7.16,106.1,32,3.8
"362","2/18/2018",-7.81,106.04,28,3
"363","2/18/2018",-8.91,110.95,10,3.8
"364","2/18/2018",-8.36,111.43,105,3.5
"365","2/18/2018",-7.17,106.06,26,3.2
"366","2/18/2018",-7.62,106.67,10,4.5
