Kodekec;pengeluaran_perkapita;PT_N;JumlahPondok;JumlahMontir;JumlahBAsing;JumlahPoskesdes;R1206EK2;var;ntl.18;ntl.19;ntl.20;ntl.21;lst_mean;lst_median;lst.celcius;ycap.1;ycap.2;ycap.3b;ycap.4b;ycap.6b
3203200;1202868,458;0;62;1;6;5;63;16172679739;4,772700529;5,380757266;4,765429005;5,114000802;15247,63598;15247,75;31,805;1261377,681;1161947,625;1180699,231;1164533,112;1204132,998
3203210;749307,2575;0;165;1;0;7;8;7312658206;1,379142635;1,423561702;1,296358186;1,444154555;14976,13733;15025,32526;27,357;739800,9356;763466,206;748918,068;758535,1163;748754,3525
3203220;938874,2899;0;83;0;0;6;19;16854745889;3,704731173;4,250840494;3,677110533;4,628191446;15013,46795;15064,90847;28,148;932458,0985;950369,6829;914036,7741;939413,9229;932909,7641
3203221;855836,4004;0;41;0;3;7;23;12026840042;2,790409035;3,112761003;2,681286073;3,053846577;14924,45934;14994,33333;26,737;897678,6878;871362,4662;833946,0131;859474,7634;872829,7218
3203230;540009,4621;0;66;0;1;6;5;2102861635;1,749635979;2,094633396;1,862711401;2,291657393;15103,08303;15106,22106;28,974;551932,6114;554199,5488;548974,5343;553904,8838;554433,3459
3203240;809657,8793;0;111;0;0;10;10;3940502506;0,641286791;0,68372645;0,707412814;0,785219386;15117,26532;15110,90622;29,068;805409,2768;810103,7407;812860,2004;809826,754;805611,0343
3204010;726100,0396;0;61;0;0;3;11;2169075219;1,20217904;1,25298269;1,270384272;1,38525415;14949,18996;14949,16026;25,833;733667,9977;731321,8742;723398,4579;728630,283;730545,7936
3204011;497347,966;0;11;0;0;5;5;8736462002;0,435498774;0,45523606;0,495223723;0,56247208;14826,33525;14821,75;23,285;559737,9535;544859,3741;491275,104;529810,4987;542845,8488
3204020;1112233,426;0;51;0;1;7;9;13034438726;0,610066644;0,645425591;0,685438442;0,769208952;14823,58195;14793,05952;22,711;1073665,802;1048182,417;1005578,881;1022714,446;1026496,967
3204030;956892,139;0;65;0;0;6;5;18932898127;1,08373109;1,136819053;1,243702863;1,309424177;14968,49369;15002,98474;26,910;926703,7506;923586,2345;907121,4243;910464,5262;905773,7628
3204040;1013398,832;0;116;0;1;14;10;13303987548;0,693748032;0,731761731;0,765868618;0,853038517;14893,94275;14896,75872;24,785;955971,663;970864,3074;943449,0227;953068,0901;936652,4903
3204050;569984,4822;0;77;0;0;5;1;2373939639;0,460825538;0,494465156;0,560924235;0,611713291;14911,66679;14901,52832;24,881;579391,2674;581156,997;569651,9058;577810,9147;578447,3017
3204060;737151,3614;0;193;0;0;9;0;2037301894;0,795764218;0,806508895;0,88057801;1,004867778;14970,36059;14994,08871;26,732;729615,8552;740706,5508;736110,8245;738910,7322;733603,7796
3204070;784115,0842;0;72;0;0;15;6;8007595927;1,549873848;1,522502845;1,441337407;1,508848123;14987,35146;15000;26,850;777771,5664;795763,7064;776621,4244;788914,1873;778273,4822
3204080;727548,5257;0;58;0;0;6;15;4122483888;1,782188033;1,879214848;2,101381571;2,25614974;15128,88128;15128,33576;29,417;741563,4935;739505,0353;736571,8863;739237,1439;740760,3464
3204090;703010,9736;0;29;0;0;10;4;9632261591;2,102004434;2,252487396;2,371587755;2,646389409;15174,01206;15150;29,850;725736,3252;735321,5833;729247,8203;735693,3228;731548,0855
3204100;623282,6159;0;78;1;3;4;14;3339699580;2,676469764;3,013563811;3,12079028;3,270108823;15117,66123;15131;29,470;644292,4272;643137,7736;635314,8806;642736,597;646150,1858
